,Actual Cash Value,Body Style,Closing Date,Color,Cylinders,Drive,Engine,Fuel,Keys,Location,Odometer,Offer Ends in,Primary Damage,Repair Cost,Runs & Drive:,Sale Date,Sale Status,Secondary Damage,Special Note,Title State/Type,VIN,bid
Salvage-2012-Volkswagen-PASSAT+S-for-Sale,"$ 5,259 USD",Sedan 4 door,Virtual Sale date not set,White,5,FRONT-WHEEL DRIVE,2.5L 5,Gasoline,YES,MA - NORTH BOSTON,101970 ACTUAL,,Front end,"$ 6,958 USD",Vehicle Starts,Future Sale,Pure sale,Minor dent/scratches,,MA SALVAGE - PARTS ONLY,1VWAP7A33CC025802  Get instaVIN history report,
Salvage-2015-Volkswagen-TIGUAN+S-for-Sale,"$ 10,059 USD",4dr sport,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,TX - AUSTIN,105927 ACTUAL,,Side,"$ 11,605 USD",Run & drive verified,Future Sale,Pure sale,Front end,,TX SALVAGE VEHICLE TITLE,WVGAV7AX3FW560574  Get instaVIN history report,
Salvage-2001-Lexus-GS+300-for-Sale,"$ 3,550 USD",Sedan 4 door,Virtual Sale date not set,Green,6,REAR-WHEEL DRIVE,3.0L 6,Gasoline,YES,NC - RALEIGH,213854 EXEMPT,,Front end,"$ 2,701 USD",Run & drive verified,Future Sale,Pure sale,,,SC SALVAGE TITLE,JT8BD69S810149485  Get instaVIN history report,
Salvage-2017-Audi-Q7+PREMIUM-for-Sale,"$ 44,111 USD",4dr sport,Virtual Sale date not set,Silver,6,ALL WHEEL DRIVE,3.0L 6,Gasoline,YES,MA - NORTH BOSTON,29988 ACTUAL,,Front end,"$ 32,385 USD",Run & drive verified,Future Sale,Pure sale,Undercarriage,,MA SALVAGE TITLE,WA1LAAF78HD025778  Get instaVIN history report,
Salvage-2011-Ford-FIESTA+SES-for-Sale,"$ 6,854 USD",Hatchback,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,1.6L 4,Gasoline,YES,GA - ATLANTA EAST,91440 ACTUAL,,Top/roof,,Run & drive verified,Future Sale,Pure sale,Front end,,GA SALVAGE TITLE,3FADP4FJXBM107213  Get instaVIN history report,
Salvage-2004-Ford-EXPLORER+X-for-Sale,"$ 4,798 USD",4dr sport,Virtual Sale date not set,Black,6,REAR-WHEEL DRIVE,4.0L 6,Flexible fuel,YES,SC - COLUMBIA,0 EXEMPT,,Rollover,"$ 11,824 USD",Unknown,Future Sale,Pure sale,,VEH LOC @ STH GASTON SUBLOT,SC SALVAGE TITLE,1FMZU62K74UB53451  Get instaVIN history report,
Salvage-2017-Audi-A4+PREMIUM-for-Sale,"$ 25,045 USD",Sedan 4 door,09/13/2019 at 09.00 AM EDT,Gray,4,ALL WHEEL DRIVE,2.0L 4,Gasoline,YES,MA - NORTH BOSTON,0 NOT ACTUAL,,Front end,"$ 19,356 USD",Unknown,09/13/2019 at 10.00 AM EDT,On minimum bid,Rear end,,MA SALVAGE TITLE,WAUANAF48HA159664  Get instaVIN history report,
Salvage-2008-Chevrolet-IMPALA+LT-for-Sale,"$ 6,605 USD",Sedan 4 door,Virtual Sale date not set,White,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,OH - DAYTON,93934 ACTUAL,,Rear end,"$ 7,649 USD",Run & drive verified,Future Sale,Pure sale,,,NY SALVAGE TITLE,2G1WT58N489208553  Get instaVIN history report,
Salvage-2008-Toyota-CAMRY+CE-for-Sale,"$ 5,609 USD",Sedan 4 door,09/19/2019 at 11.30 AM CDT,Blue,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,IL - CHICAGO NORTH,150467 EXEMPT,,Front end,"$ 7,245 USD",Unknown,09/19/2019 at 12.00 PM CDT,On minimum bid,Minor dent/scratches,,IA SALVAGE TITLE,4T4BE46K98R019890  Get instaVIN history report,
Salvage-2008-Toyota-YARIS-for-Sale,"$ 3,022 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,1.5L 4,Gasoline,YES,FL - MIAMI CENTRAL,142448 ACTUAL,,Front end,"$ 2,684 USD",Unknown,Future Sale,On minimum bid,Undercarriage,,FL SALVAGE TITLE/REBUILDABLE,JTDBT923381265528  Get instaVIN history report,
Salvage-2004-Honda-CIVIC+HYBRID-for-Sale,"$ 3,472 USD",Sedan 4 door,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,1.3L 4,Hybrid,YES,CO - DENVER SOUTH,104920 ACTUAL,,Front end,"$ 3,472 USD",Run & drive verified,Future Sale,Pure sale,Minor dent/scratches,,CO PUBLIC - SALVAGE TITLE,JHMES95624S002830  Get instaVIN history report,
Salvage-2013-Chevrolet-CORVETTE+4-for-Sale,"$ 49,359 USD",Convertible,Virtual Sale date not set,Red,8,REAR-WHEEL DRIVE,7.0L 8,Gasoline,NO,SC - COLUMBIA,0 NOT ACTUAL,,Stripped,,Unknown,Future Sale,Pure sale,,,SC CLEAN TITLE,1G1YZ3DE2D5702029  Get instaVIN history report,
Salvage-2006-Lexus-RX+330-for-Sale,"$ 7,646 USD",4dr sport,Virtual Sale date not set,Silver,6,ALL WHEEL DRIVE,3.3L 6,Gasoline,YES,IN - INDIANAPOLIS,134988 ACTUAL,,Front end,,Run & drive verified,Future Sale,Pure sale,,,IN CLEAN TITLE,2T2HA31U96C095901  Get instaVIN history report,
Salvage-2013-Ford-FUSION+S-for-Sale,"$ 7,675 USD",Sedan 4 door,Virtual Sale date not set,Red,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,TX - EL PASO,104645 ACTUAL,,Front end,"$ 10,883 USD",Unknown,Future Sale,Pure sale,,,TX SALVAGE VEHICLE TITLE,3FA6P0G77DR215394  Get instaVIN history report,
Salvage-2018-Toyota-AVALON+XLE-for-Sale,"$ 21,731 USD",Sedan 4 door,Virtual Sale date not set,Gray,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,CA - SACRAMENTO,25832 ACTUAL,,Rear end,"$ 6,135 USD",Run & drive verified,Future Sale,On approval,,,MO SALVAGE CERTIFICATE,4T1BK1EB0JU284528  Get instaVIN history report,
