,Actual Cash Value,Body Style,Closing Date,Color,Cylinders,Drive,Engine,Fuel,Keys,Location,Odometer,Offer Ends in,Primary Damage,Repair Cost,Runs & Drive:,Sale Date,Sale Status,Secondary Damage,Special Note,Title State/Type,VIN,bid
Salvage-2005-Chrysler-TOWN+%26+COUNTRY-for-Sale,"$ 2,196 USD",Extended,Virtual Sale date not set,Blue,6,FRONT-WHEEL DRIVE,3.8L 6,Gasoline,YES,IN - INDIANAPOLIS,178032 EXEMPT,,Front end,,Run & drive verified,Future Sale,Pure sale,,,IN CLEAN TITLE,2C4GP54L15R349533  Get instaVIN history report,
Salvage-1997-Honda-ACCORD+SE-for-Sale,,Sedan 4 door,Virtual Sale date not set,Burgundy,4,FRONT-WHEEL DRIVE,2.2L 4,Gasoline,YES,NC - CHINA GROVE,139225 ACTUAL,,Normal wear,,Run & drive verified,Future Sale,On approval,,,NC BILL OF SALE,1HGCD5608VA266181  Get instaVIN history report,
Salvage-2019-Nissan-PATHFINDER-for-Sale,"$ 37,601 CAD",4dr sport,Virtual Sale date not set,White,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,YES,ON - LONDON,844 ACTUAL,,All over,"$ 40,327 CAD",Vehicle Starts,Future Sale,Pure sale,Undercarriage,PREVIOUS FLEET,ON PERMIT NO BRAND - UNFIT,5N1DR2MM9KC586839  Get instaVIN history report,
Salvage-2018-Chevrolet-EQUINOX+LT-for-Sale,"$ 19,534 USD",4dr sport,09/17/2019 at 09.00 AM EDT,Gold,4,FRONT-WHEEL DRIVE,1.5L 4,Gasoline,YES,IN - INDIANAPOLIS,0 NOT ACTUAL,,Front end,"$ 19,534 USD",Unknown,09/17/2019 at 10.00 AM EDT,On minimum bid,,,IN SALVAGE TITLE,3GNAXJEV8JL291661  Get instaVIN history report,
Salvage-2018-Toyota-YARIS+IA-for-Sale,"$ 14,875 USD",Sedan 4 door,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,1.5L 4,Gasoline,YES,NE - LINCOLN,1922 ACTUAL,,Water/flood,"$ 15,000 USD",Run & drive verified,Future Sale,On minimum bid,Minor dent/scratches,,NE SALVAGE TITLE,3MYDLBYV6JY310909  Get instaVIN history report,
Salvage-2010-Honda-ACCORD+LX-for-Sale,"$ 6,664 USD",Sedan 4 door,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,NC - RALEIGH,115406 ACTUAL,,Side,"$ 6,915 USD",Run & drive verified,Future Sale,Pure sale,,,NC SALVAGE CERTIFICATE,1HGCP2F39AA070969  Get instaVIN history report,
Salvage-2014-Nissan-ALTIMA+2.5-for-Sale,"$ 11,240 USD",Sedan 4 door,Virtual Sale date not set,Brown,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,NO,LA - NEW ORLEANS,11372 NOT ACTUAL,,Rear end,"$ 10,233 USD",Unknown,Future Sale,Pure sale,,,MS SALVAGE TITLE,1N4AL3AP5EC288926  Get instaVIN history report,
Salvage-1997-Volvo-850+T5-for-Sale,"$ 1,001 USD",Station,09/10/2019 at 09.00 AM EDT,Silver,5,FRONT-WHEEL DRIVE,2.4L 5,Gasoline,NO,NC - RALEIGH,206403 EXEMPT,,Front end,"$ 2,662 USD",Unknown,09/10/2019 at 10.00 AM EDT,On minimum bid,Minor dent/scratches,SOLD ON TITLE PENDING,NC SALVAGE CERTIFICATE,YV1LW5728V2322360  Get instaVIN history report,
Salvage-2018-Mitsubishi-MIRAGE+ES-for-Sale,"$ 12,381 USD",Hatchback 4 door,Virtual Sale date not set,Burgundy,3,FRONT-WHEEL DRIVE,1.2L 3,Gasoline,YES,NC - RALEIGH,9202 ACTUAL,,Rear end,"$ 12,663 USD",Run & drive verified,Future Sale,Pure sale,Front end,,NC SALVAGE CERTIFICATE,ML32A3HJ1JH000373  Get instaVIN history report,
Salvage-2012-Subaru-OUTBACK+2-for-Sale,"$ 12,100 USD",4dr sport,Virtual Sale date not set,Brown,4,ALL WHEEL DRIVE,2.5L 4,Gasoline,YES,RI - EXETER,118807 ACTUAL,,Front end,"$ 11,512 USD",Run & drive verified,Future Sale,Pure sale,,,RI SALVAGE CERTIFICATE,4S4BRBJC9C3289400  Get instaVIN history report,
Salvage-2006-Scion-XB-for-Sale,"$ 3,846 USD",4dr sport,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,1.5L 4,Gasoline,YES,NC - MOCKSVILLE,177048 ACTUAL,,Rear end,"$ 4,678 USD",Vehicle Starts,Future Sale,On approval,Front end,,NC BILL OF SALE,JTLKT324864107143  Get instaVIN history report,
Salvage-2011-Nissan-ALTIMA+BASE-for-Sale,,Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,MA - NORTH BOSTON,125722 ACTUAL,,Front end,,Run & drive verified,Future Sale,On approval,Minor dent/scratches,,MA CLEAN TITLE,1N4AL2AP3BC151697  Get instaVIN history report,
Salvage-2017-Toyota-CAMRY+LE-for-Sale,"$ 17,812 USD",Sedan 4 door,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,IL - PEORIA,42343 ACTUAL,,Hail,"$ 17,870 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,4T1BF1FK2HU652883  Get instaVIN history report,
Salvage-2002-Honda-CIVIC+DX-for-Sale,,Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,1.7L 4,Gasoline,YES,MI - IONIA,169102 EXEMPT,,Normal wear,,Unknown,Future Sale,On approval,Minor dent/scratches,,MI CLEAN TITLE,1HGES16152L025985  Get instaVIN history report,
Salvage-2015-Chevrolet-MALIBU+2LT-for-Sale,"$ 13,112 USD",Sedan 4 door,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,GA - ATLANTA NORTH,69109 NOT ACTUAL,,Front end,"$ 10,261 USD",Run & drive verified,Future Sale,Pure sale,,,MI CLEAN TITLE,1G11D5SL8FF170537  Get instaVIN history report,
Salvage-2014-Dodge-DART+SE+AE-for-Sale,"$ 8,587 USD",Sedan 4 door,Virtual Sale date not set,Burn,4,FRONT-WHEEL DRIVE,1.4L 4,Gasoline,NO,TN - NASHVILLE,0 NOT ACTUAL,,Burn,"$ 8,587 USD",Unknown,Future Sale,On approval,,,TN ABANDONMENT,1C3CDFDH2ED697230  Get instaVIN history report,
Salvage-2004-Dodge-NEON+SX+2-for-Sale,"$ 2,500 CAD",Sedan 4 door,Virtual Sale date not set,Red,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,NO,AB - CALGARY,130021 EXEMPT,,Front end,,Unknown,Future Sale,Pure sale,,,AB BILL OF SALE - SALVAGE,1B3ES46C74D592652  Get instaVIN history report,
Salvage-2010-Buick-LACROSSE+C-for-Sale,"$ 7,147 USD",Sedan 4 door,Virtual Sale date not set,Silver,6,FRONT-WHEEL DRIVE,3.0L 6,Gasoline,YES,GA - ATLANTA SOUTH,74371 ACTUAL,,Front end,"$ 6,371 USD",Run & drive verified,Future Sale,On minimum bid,,,GA SALVAGE TITLE,1G4GC5EG1AF149861  Get instaVIN history report,
Salvage-2009-Lexus-RX+350-for-Sale,"$ 11,390 USD",4dr sport,Virtual Sale date not set,Black,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,YES,SC - SPARTANBURG,130326 ACTUAL,,Rear end,,Run & drive verified,Future Sale,On minimum bid,Front end,VEH LOC @ SPARTANBURG SC LOT,TN CLEAN TITLE,2T2HK31U79C131845  Get instaVIN history report,
Salvage-2013-Toyota-RAV4+XLE-for-Sale,"$ 15,379 USD",4dr sport,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,CO - DENVER SOUTH,74582 ACTUAL,,Hail,"$ 12,602 USD",Run & drive verified,Future Sale,Pure sale,,,HI CLEAN TITLE,JTMWFREV0DD010334  Get instaVIN history report,
Salvage-2014-Nissan-MURANO+S-for-Sale,"$ 11,212 USD",4dr sport,Virtual Sale date not set,Black,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,NC - RALEIGH,82584 ACTUAL,,Minor dent/scratches,,Run & drive verified,Future Sale,Pure sale,,,NC SALVAGE CERTIFICATE,JN8AZ1MU1EW403541  Get instaVIN history report,
Salvage-2012-Ford-FUSION+SE-for-Sale,"$ 6,330 USD",Sedan 4 door,Virtual Sale date not set,White,6,FRONT-WHEEL DRIVE,3.0L 6,Flexible fuel,NO,IN - INDIANAPOLIS,0 NOT ACTUAL,,Front end,,Unknown,Future Sale,Pure sale,Biohazard/chemical,VEH LOCATED @ CICERO SUBLOT,IN CLEAN TITLE,3FAHP0HG3CR422158  Get instaVIN history report,
Salvage-2000-Honda-CIVIC+SE-for-Sale,"$ 1,525 CAD",Hatchback,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,1.6L 4,Gasoline,YES,AB - CALGARY,0 EXEMPT,,Side,,Unknown,Future Sale,Pure sale,,,BC VEH REGISTRATION-NON-REPAIRABL,2HGEJ6450YH008426  Get instaVIN history report,
Salvage-2009-Mercury-MILAN+PREMIUM-for-Sale,"$ 3,995 USD",Sedan 4 door,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,2.3L 4,Gasoline,YES,IN - INDIANAPOLIS,158194 ACTUAL,,Side,"$ 6,641 USD",Unknown,Future Sale,Pure sale,Front end,,IN SALVAGE TITLE,3MEHM08ZX9R622806  Get instaVIN history report,
Salvage-2005-Nissan-ALTIMA-for-Sale,"$ 2,608 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,NY - LONG ISLAND,112454 ACTUAL,,Rear end,"$ 4,765 USD",Run & drive verified,Future Sale,On minimum bid,,,NY MV907A DISMANTLERS,1N4AL11D85C151053  Get instaVIN history report,
Salvage-2011-Mercedes-Benz-C+300+4MATIC-for-Sale,"$ 14,175 USD",Sedan 4 door,Virtual Sale date not set,Black,6,ALL WHEEL DRIVE,3.0L 6,Gasoline,YES,MO - ST. LOUIS,63134 ACTUAL,,Front end,"$ 10,346 USD",Vehicle Starts,Future Sale,Pure sale,Mechanical,,MO SALVAGE CERTIFICATE,WDDGF8BB3BR168908  Get instaVIN history report,
Salvage-2003-Mercedes-Benz-ML+500-for-Sale,"$ 3,368 USD",4dr sport,09/17/2019 at 11.30 AM MDT,Blue,8,ALL WHEEL DRIVE,5.0L 8,Gasoline,YES,CO - DENVER,131158 EXEMPT,,Side,"$ 6,812 USD",Run & drive verified,09/17/2019 at 12.00 PM MDT,On minimum bid,,,CO SALVAGE TITLE,4JGAB75E53A382242  Get instaVIN history report,
Salvage-2010-Volkswagen-JETTA+TDI-for-Sale,"$ 9,588 USD",Sedan 4 door,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.0L 4,Diesel,NO,CO - COLORADO SPRINGS,136032 ACTUAL,,Hail,"$ 5,487 USD",Run & drive verified,Future Sale,On minimum bid,,VEH LOC @ CLOUD SUBLOT,CO CLEAN TITLE,3VWRL7AJ0AM090339  Get instaVIN history report,
Salvage-2008-Dodge-GRAND+CARAVAN-for-Sale,"$ 4,350 USD",Extended,Virtual Sale date not set,Blue,6,FRONT-WHEEL DRIVE,3.3L 6,Flexible fuel,YES,NC - CHINA GROVE,154456 ACTUAL,,Minor dent/scratches,,Run & drive verified,Future Sale,On approval,,,NC BILL OF SALE,1D8HN44H18B143536  Get instaVIN history report,
Salvage-2011-Scion-XD-for-Sale,"$ 4,709 USD",Hatchback,09/13/2019 at 09.00 AM EDT,Red,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,MA - NORTH BOSTON,145911 ACTUAL,,Rear end,"$ 6,135 USD",Run & drive verified,09/13/2019 at 10.00 AM EDT,On minimum bid,Side,,MA SALVAGE TITLE,JTKKU4B41B1009896  Get instaVIN history report,
Salvage-1999-Nissan-PATHFINDER-for-Sale,"$ 3,373 CAD",4dr sport,Virtual Sale date not set,Red,6,FOUR BY FOUR,3.3L 6,Gasoline,YES,AB - CALGARY,313352 ACTUAL,,Vandalism,,Unknown,Future Sale,Pure sale,,,BC VEH REGISTRATION-SALVAGE,JN8AR07Y2XW358833  Get instaVIN history report,
Salvage-1997-Ford-TAURUS+GL-for-Sale,,Sedan 4 door,Virtual Sale date not set,Green,6,FRONT-WHEEL DRIVE,3.0L 6,Gasoline,YES,OR - PORTLAND NORTH,149137 ACTUAL,,Normal wear,,Run & drive verified,Future Sale,On approval,,,OR CLEAN TITLE,1FALP52U8VG116279  Get instaVIN history report,
Salvage-2010-Chrysler-300C-for-Sale,"$ 9,825 USD",Sedan 4 door,Virtual Sale date not set,Gray,8,ALL WHEEL DRIVE,5.7L 8,Gasoline,YES,MN - MINNEAPOLIS NORTH,115074 ACTUAL,,Front end,"$ 9,140 USD",Run & drive verified,Future Sale,Pure sale,Minor dent/scratches,,MN SALVAGE TITLE,2C3CK6CT1AH142147  Get instaVIN history report,
Salvage-2007-Toyota-PRIUS-for-Sale,"$ 7,545 CAD",Hatchback,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,1.5L 4,Hybrid,YES,AB - CALGARY,78449 ACTUAL,,Front end,"$ 6,204 CAD",Unknown,Future Sale,Pure sale,,,AB BILL OF SALE - IRREPAIRABLE,JTDKB20U177654167  Get instaVIN history report,
